tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,39140,8704,5634311,130684,2017-08-01 16:23:56
892177421306343426,33521,6387,5634311,130684,2017-08-01 00:17:27
891815181378084864,25264,4245,5634311,130684,2017-07-31 00:18:03
891689557279858688,42482,8801,5634471,130683,2017-07-30 15:58:51
891327558926688256,40664,9580,5634311,130684,2017-07-29 16:00:24
891087950875897856,20396,3178,5634311,130684,2017-07-29 00:08:17
890971913173991426,11953,2117,5634311,130684,2017-07-28 16:27:12
890729181411237888,66134,19281,5634311,130684,2017-07-28 00:22:40
890609185150312448,27994,4340,5634310,130684,2017-07-27 16:25:51
890240255349198849,32219,7571,5634310,130684,2017-07-26 15:59:51
890006608113172480,30885,7482,5634310,130684,2017-07-26 00:31:25
889880896479866881,28010,5063,5634311,130684,2017-07-25 16:11:53
889665388333682689,48349,10256,5634311,130684,2017-07-25 01:55:32
889638837579907072,27409,4635,5634311,130684,2017-07-25 00:10:02
889531135344209921,15225,2272,5634311,130684,2017-07-24 17:02:04
889278841981685760,25507,5549,5634312,130684,2017-07-24 00:19:32
888917238123831296,29322,4590,5634312,130684,2017-07-23 00:22:39
888804989199671297,25803,4447,5634312,130684,2017-07-22 16:56:37
888554962724278272,20102,3669,5634312,130684,2017-07-22 00:23:06
888078434458587136,21960,3585,5634316,130684,2017-07-20 16:49:33
887705289381826560,30455,5504,5634316,130684,2017-07-19 16:06:48
887517139158093824,46586,11885,5634316,130684,2017-07-19 03:39:09
887473957103951883,69719,18612,5634316,130684,2017-07-19 00:47:34
887343217045368832,33956,10595,5634316,130684,2017-07-18 16:08:03
887101392804085760,30819,6076,5634316,130684,2017-07-18 00:07:08
886983233522544640,35494,7925,5634316,130684,2017-07-17 16:17:36
886736880519319552,12184,3365,5634317,130684,2017-07-16 23:58:41
886680336477933568,22623,4551,5634317,130684,2017-07-16 20:14:00
886366144734445568,21311,3249,5634317,130684,2017-07-15 23:25:31
886267009285017600,117,4,5634317,130684,2017-07-15 16:51:35
886258384151887873,28214,6409,5634321,130684,2017-07-15 16:17:19
886054160059072513,0,105,5634321,130684,2017-07-15 02:45:48
885984800019947520,33014,6942,5634321,130684,2017-07-14 22:10:11
885528943205470208,36299,6564,5634321,130684,2017-07-13 15:58:47
885518971528720385,20594,3837,5634321,130684,2017-07-13 15:19:09
885311592912609280,0,18942,5634321,130684,2017-07-13 01:35:06
885167619883638784,22128,4461,5634321,130684,2017-07-12 16:03:00
884925521741709313,78197,18883,5634322,130684,2017-07-12 00:01:00
884876753390489601,28195,5965,5634323,130684,2017-07-11 20:47:12
884562892145688576,24515,5022,5634323,130684,2017-07-11 00:00:02
884441805382717440,27218,5769,5634323,130684,2017-07-10 15:58:53
884247878851493888,73603,20808,5634323,130684,2017-07-10 03:08:17
884162670584377345,20550,3050,5634324,130684,2017-07-09 21:29:42
883838122936631299,22086,3518,5634325,130684,2017-07-09 00:00:04
883482846933004288,46359,10189,5634325,130684,2017-07-08 00:28:19
883360690899218434,22736,3762,5634325,130684,2017-07-07 16:22:55
883117836046086144,37541,6805,5634325,130684,2017-07-07 00:17:54
882992080364220416,24156,4022,5634325,130684,2017-07-06 15:58:11
882762694511734784,28588,5017,5634325,130684,2017-07-06 00:46:41
882627270321602560,28116,6211,5634327,130684,2017-07-05 15:48:34
882268110199369728,45356,11836,5634327,130684,2017-07-04 16:01:23
882045870035918850,29608,5090,5634327,130684,2017-07-04 01:18:17
881906580714921986,24510,3454,5634327,130684,2017-07-03 16:04:48
881666595344535552,50995,10911,5634327,130684,2017-07-03 00:11:11
881633300179243008,129,7,5634327,130684,2017-07-02 21:58:53
881536004380872706,49883,16304,5634327,130684,2017-07-02 15:32:16
881268444196462592,23266,5252,5634327,130684,2017-07-01 21:49:04
880935762899988482,17155,2839,5634329,130684,2017-06-30 23:47:07
880872448815771648,21493,3911,5634330,130684,2017-06-30 19:35:32
880465832366813184,28772,6414,5634330,130684,2017-06-29 16:39:47
880221127280381952,27327,4332,5634330,130684,2017-06-29 00:27:25
880095782870896641,27859,4445,5634330,130684,2017-06-28 16:09:20
879862464715927552,22458,3575,5634330,130684,2017-06-28 00:42:13
879674319642796034,314,10,5634331,130684,2017-06-27 12:14:36
879492040517615616,23604,3255,5634331,130684,2017-06-27 00:10:17
879415818425184262,106853,45111,5634331,130684,2017-06-26 19:07:24
879376492567855104,16903,3179,5634332,130684,2017-06-26 16:31:08
879130579576475649,0,7019,5634332,130684,2017-06-26 00:13:58
879050749262655488,22790,4828,5634332,130684,2017-06-25 18:56:45
879008229531029506,19122,2748,5634332,130684,2017-06-25 16:07:47
878776093423087618,19548,4224,5634332,130684,2017-06-25 00:45:22
878604707211726852,30554,7413,5634333,130684,2017-06-24 13:24:20
878404777348136964,0,1324,5634334,130684,2017-06-24 00:09:53
878316110768087041,0,6824,5634334,130684,2017-06-23 18:17:33
878281511006478336,7831,1324,5634334,130684,2017-06-23 16:00:04
878057613040115712,42418,7019,5634335,130684,2017-06-23 01:10:23
877736472329191424,80712,19654,5634335,130684,2017-06-22 03:54:17
877611172832227328,0,82,5634335,130684,2017-06-21 19:36:23
877556246731214848,23008,3914,5634335,130684,2017-06-21 15:58:08
877316821321428993,27617,5313,5634335,130684,2017-06-21 00:06:44
877201837425926144,27401,5731,5634335,130684,2017-06-20 16:29:50
876838120628539392,20875,3448,5634335,130684,2017-06-19 16:24:33
876537666061221889,23624,4713,5634335,130684,2017-06-18 20:30:39
876484053909872640,18946,2466,5634335,130684,2017-06-18 16:57:37
876120275196170240,28162,4805,5634335,130684,2017-06-17 16:52:05
875747767867523072,25460,4405,5634336,130684,2017-06-16 16:11:53
875144289856114688,22143,5044,5634336,130684,2017-06-15 00:13:52
875097192612077568,27671,6211,5634336,130684,2017-06-14 21:06:43
875021211251597312,25742,4820,5634336,130684,2017-06-14 16:04:48
874680097055178752,28154,4763,5634336,130684,2017-06-13 17:29:20
874434818259525634,0,15201,5634337,130684,2017-06-13 01:14:41
874296783580663808,26341,4231,5634337,130684,2017-06-12 16:06:11
874057562936811520,22888,4058,5634337,130684,2017-06-12 00:15:36
874012996292530176,35069,10766,5634337,130684,2017-06-11 21:18:31
873580283840344065,24530,4050,5634338,130684,2017-06-10 16:39:04
873337748698140672,0,1634,5634338,130684,2017-06-10 00:35:19
873213775632977920,7368,1634,5634338,130684,2017-06-09 16:22:42
872967104147763200,27714,5564,5634338,130684,2017-06-09 00:02:31
872820683541237760,14883,3811,5634338,130684,2017-06-08 14:20:41
872668790621863937,0,30,5634338,130684,2017-06-08 04:17:07
872620804844003328,21068,3827,5634338,130684,2017-06-08 01:06:27
872486979161796608,41128,9256,5634338,130684,2017-06-07 16:14:40
872261713294495745,34693,6529,5634338,130684,2017-06-07 01:19:32
872122724285648897,34916,8378,5634339,130684,2017-06-06 16:07:15
871879754684805121,38616,11623,5634339,130684,2017-06-06 00:01:46
871762521631449091,20547,3590,5634339,130684,2017-06-05 16:15:56
871515927908634625,20512,3560,5634339,130684,2017-06-04 23:56:03
871166179821445120,0,5884,5634339,130684,2017-06-04 00:46:17
871102520638267392,21229,5662,5634339,130684,2017-06-03 20:33:19
871032628920680449,22998,3926,5634339,130684,2017-06-03 15:55:36
